,logSumDollars,predicted,diff,Rank,Zipcode
89,6.32793678373,7.94278165761,2255.18049525,16029.0,00952
90,10.1518309049,10.07513943,-1892.71104427,11641.0,00953
91,9.45868372431,10.5089799365,23824.0822019,21812.0,00956
92,6.90775527898,10.7097529561,43790.5722794,22904.0,00957
93,10.5879975397,10.5385703562,-1912.43199593,11631.0,00959
94,10.1084263992,11.2637926336,53398.6427584,23190.0,00961
95,4.74493212836,9.19863663977,9768.64490052,19698.0,00965
96,12.0284938242,11.8752957502,-23785.9156248,6576.0,00966
97,10.8519937488,10.7512443489,-4948.91140476,10257.0,00968
98,13.3802746651,11.3396688456,-563019.820964,834.0,00969
99,10.0586948168,10.0429608763,-364.637269387,12723.0,00971
100,11.0149667069,11.2517151809,16234.8958845,20959.0,00976
101,11.3505006487,10.5760930916,-45821.2839672,4893.0,00979
