,Zipcode,Cluster8Assignment
827,03861,7
828,03862,7
829,03864,6
830,03865,6
831,03867,5
832,03868,6
833,03869,6
834,03871,7
835,03873,6
836,03874,6
837,03878,5
838,03882,6
839,03884,6
840,03885,7
841,03896,6
842,03901,6
843,03902,7
844,03903,6
845,03904,6
846,03905,5
847,03906,6
848,03907,8
849,03908,6
850,03910,6
851,04002,6
852,04003,8
853,04005,5
854,04009,6
855,04011,5
856,04015,6
857,04017,7
858,04020,6
859,04022,6
860,04024,6
861,04027,6
862,04032,7
863,04037,6
864,04038,7
865,04039,7
866,04040,6
867,04042,6
868,04043,7
869,04046,7
870,04048,7
871,04049,7
872,04050,7
873,04051,6
874,04055,6
875,04056,6
876,04061,7
877,04062,6
878,04063,6
879,04064,6
880,04068,6
881,04070,7
882,04071,7
883,04072,6
884,04073,5
885,04074,7
886,04079,6
887,04083,5
888,04084,7
889,04085,6
890,04086,6
891,04090,6
892,04092,5
893,04093,6
894,04096,7
895,04097,7
896,04101,4
897,04102,5
898,04103,5
899,04104,4
900,04105,7
901,04106,5
902,04107,7
903,04112,4
904,04210,5
905,04216,6
906,04221,6
907,04222,6
908,04231,6
909,04236,6
910,04237,6
911,04238,6
912,04240,5
913,04243,3
914,04250,6
915,04252,6
916,04253,6
917,04254,6
918,04256,6
919,04257,6
920,04259,6
921,04260,6
922,04263,6
923,04268,6
924,04270,6
925,04274,6
926,04276,6
927,04280,6
928,04281,6
929,04282,6
930,04284,6
931,04285,6
932,04287,6
933,04289,6
934,04294,5
935,04330,5
936,04332,4
937,04342,6
938,04344,6
939,04345,5
940,04346,6
941,04347,5
942,04348,6
943,04350,6
944,04351,7
945,04352,6
946,04354,6
947,04355,6
948,04357,6
949,04358,6
950,04359,6
951,04363,6
952,04364,7
953,04401,5
954,04402,5
955,04406,6
956,04408,6
957,04410,6
958,04411,6
959,04412,5
960,04415,6
961,04416,6
962,04419,6
963,04421,6
964,04426,6
965,04427,6
966,04428,6
967,04429,6
968,04441,6
969,04442,6
970,04444,6
971,04448,6
972,04450,6
973,04453,6
974,04455,6
975,04456,6
976,04457,6
977,04460,6
978,04462,6
979,04464,6
980,04468,6
981,04471,6
982,04472,6
983,04473,5
984,04474,6
985,04475,6
986,04479,6
987,04481,6
988,04487,6
989,04488,6
990,04489,5
991,04493,6
992,04496,6
993,04530,5
994,04535,7
995,04537,6
996,04539,6
997,04547,6
998,04548,7
999,04555,6
1000,04562,6
1001,04568,8
1002,04572,6
